created_at, text
10/16/2015 2:43:08, Did you also hear Megyn say Carson is the so some polls in other polls OUTRIGHT 
10/16/2015 2:22:29, Every poll Time Drudge Slate and others said I won both debates but heard Megyn Kelly had her two puppets say bad I dont watch
10/16/2015 2:00:12, Megyn Kelly has two really dumb puppets Chris Stirewalt Marc Threaten who do exactly what she All polls say I won debates
10/14/2015 18:48:50, CNN Poll just out on South Carolina great 
10/14/2015 18:23:55, Poll results just out for Trump Carson Fiorina Bush Cruz 
10/14/2015 0:08:14, Should be interesting but too bad the three guys will be taking up so much time but who knows maybe a star will be born 
10/13/2015 13:35:29, Very Trump Is Tops As Clinton Drops In Connecticut Primaries Quinnipiac University Poll Finds 
10/13/2015 9:03:52, Sickening I hope jumps another 
10/10/2015 19:18:17, Via Breitbart Riding High in Polls Donald Trump Storms the American South to Overflow Crowds in Georgia 
10/10/2015 13:47:54, Im leading big in every poll and we are going to Remember Trump NEVER gives 
10/9/2015 22:43:35, Great Gravis Poll on the great state of Also watch on CBS both on 
10/9/2015 20:35:12, New Gravis Poll in NH just Trump Carson 
10/9/2015 19:32:26, yeah youre really wearing out your Whos dominating the Go 
10/7/2015 23:51:36, Just arrived in Las Vegas for a packed house speech Big poll results today Leading big MAKE AMERICA GREAT 
10/7/2015 19:29:59, Just found out I won the Rockingham County Republican Booth Straw Poll at the Deerfield Fair in New Hampshire this past 
10/7/2015 16:19:11, RT is leading in new Quinnipiac poll 
10/7/2015 14:39:29, Heading to a packed house in Waterloo Will celebrate todays great poll numbers See you 
10/7/2015 3:12:38, REUTERS IPSOS POLL DONALD TRUMP CONTINUES TO OVER 
10/7/2015 0:02:36, Just Morning Poll Trump Trump Carson Rubio Bush Fiorina 
10/6/2015 11:33:14, Pew holds commanding lead 
10/6/2015 1:02:39, media is confused they bash trump he rises in 
10/5/2015 23:56:21, Donald Trump maintains huge lead on opponents as polls go 
10/4/2015 21:35:18, Im leading by big margins in every poll but the press keeps asking would you ever get They are just troublemakers Im going to 
10/3/2015 2:17:18, Trumps big lead in a new poll and whether Jebs stuff happens was taken out of context with tonight Thanks 
10/3/2015 2:01:23, Jeb you are falling in polls because conservatives feel that you cannot 
10/3/2015 1:57:42, RT Polling Convergence and 
10/3/2015 1:49:11, Polling Convergence and Reuters Show Donald Trump Surging With via
10/3/2015 0:34:34, Donald Trump Leads by Points in Pew Poll Jeb Bush in Free Fall 
10/1/2015 12:19:16, Latest finds at percent approval leading GOP in 
9/30/2015 20:14:42, Interesting polls on who won the GOP 
9/30/2015 16:43:53, Great Just highly respected USA University 
9/29/2015 15:04:30, I hope when Rand Paul gets out of the is at supporters come over to I will do a much better job for 
9/29/2015 15:04:21, Rand Paul has been driven out of the race by my statements about he will announce 
9/28/2015 19:44:15, Zogby Trump Widens Lead After GOP Debate 
9/28/2015 2:31:55, Trump went way up in my poll when he said hed take money from what US is giving other countries save social security
9/26/2015 13:12:32, Marco Rubio is a member of the Gang Of Eight or very weak on stopping illegal Only changed when poll numbers 
9/26/2015 2:09:42, An updated POLL tracker all polls thru the reveals I maintained a double digit lead 
9/25/2015 20:22:38, RT New maintains huge lead in 
9/25/2015 18:51:35, Dishonest just called to say that none of the polls including Fox NBC CNN Zogby Morning Consult Serious 
9/25/2015 3:55:24, the poll said very plainly I came in second in the All others Time Drudge Slate said I came in 
9/24/2015 21:51:29, Wow a really nice lead in New an increase since my last 
9/24/2015 16:33:21, Trump leads GOP field 
